position,name,left,width,top,height,light,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T05D5,cloth,2220,290,1212,290,167.5299296,2365.0,1357.0,0.2614390579077868,0.38134656207844425,0.27361018323625885,0.29638609760862195,0.3497796679757171,0.29919001997883266,0.31351804488302515,0.36999791329075615,0.3164840418262187,0.0,128.0,128.0
T06A2,cloth,2623,290,332,290,145.4360715,2768.0,477.0,0.2562193457377005,0.37786980166689443,0.26271250506192656,0.28970624225719194,0.3445988815720464,0.29360460945575156,0.3122138197985839,0.37137112502537933,0.3164150551760367,0.0,128.0,128.0
T06A3,cloth,2621,290,622,290,157.9799376,2766.0,767.0,0.24734575026424754,0.37174575650131286,0.2522718369300149,0.2816089802961353,0.33735835827613364,0.2842401992706162,0.31178767724713313,0.37351145129040964,0.3147008714624572,0.0,128.0,128.0
T06A4,cloth,2626,290,910,290,162.1144886,2771.0,1055.0,0.2557271180945298,0.3760393692158973,0.26182543213710474,0.2885970281295769,0.3430656608761852,0.2929015200243927,0.31214384605295087,0.3710566097254107,0.3167995442216385,0.0,128.0,128.0
T06B1,cloth,2908,290,46,290,125.1097431,3053.0,191.0,0.24373217823300725,0.35861461558612906,0.24998716637711973,0.27531924724431334,0.32722089688874634,0.279196908413718,0.31224643043988126,0.37110938679917466,0.3166441827609441,0.0,128.0,128.0
T06B2,cloth,2915,290,332,290,148.0677617,3060.0,477.0,0.2688435884911646,0.38330096751049103,0.2661589808927655,0.29534770517370146,0.35012711850411504,0.3063154644420596,0.3103075423863781,0.3678616212776666,0.32183083633595533,0.0,128.0,128.0
T06B3,cloth,2915,290,622,290,160.4419094,3060.0,767.0,0.2619521663500928,0.3879938550399939,0.26719533470391044,0.2962097493737312,0.35320626332260197,0.3003459091379341,0.3118778954642273,0.37188926530183236,0.31623283923394035,0.0,128.0,128.0
T06B4,cloth,2918,290,910,290,165.8327985,3063.0,1055.0,0.2623128582099387,0.38766053776666387,0.2694907882508505,0.2971024199268703,0.3534821044389094,0.30069332740807075,0.3123192864974861,0.37158660193735227,0.3160941115651616,0.0,128.0,128.0
T06B5,cloth,2916,290,1212,290,166.9054617,3061.0,1357.0,0.2658358676066516,0.38348401402212684,0.26907242768653056,0.2960721223704994,0.3506605535433997,0.3035353609226322,0.3115669588931263,0.369012257542365,0.31942078356450865,0.0,128.0,128.0
T06C1,cloth,3202,290,45,290,126.4735275,3347.0,190.0,0.23316026200669343,0.35346517617481116,0.2361205931314643,0.26585100376710313,0.3198261915661255,0.2682685061562075,0.3113207353856466,0.37452755018063866,0.31415171443371465,0.0,128.0,128.0
