position,name,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T07A1,cloth,4047.0,193.0,-4.229087163966156,-3.8537004395010257,-4.959526362356996,-4.186665477996068,-4.115973567618296,-4.574136120696591,0.3251330728325126,0.31964319594449164,0.35522373122299594,253.0,127.0,128.0
T07C2,cloth,4633.0,472.0,0.10057244113599495,0.4110625556090639,-1.7521671903676008,-0.557559386198937,-0.07140737073989487,0.11069354604485204,1.0758020566743005,0.13777939750488524,-0.21358145417918578,136.0,208.0,195.0
T07A2,cloth,4042.0,474.0,-2.7027276605185833,0.55307374441918,-2.386621605838016,-1.2742848254091819,-0.3071072019305423,-2.548633914694518,0.3085416031991154,0.07435963023982285,0.6170987665610618,153.0,226.0,67.0
T04B2,cloth,500.0,475.0,-1.0007238835873267,-2.506898446646545,-1.7639364324342068,-1.8045219561433743,-2.2401826620952114,-1.2838980197846939,0.33864824959302786,0.420407152545013,0.24094459786195915,255.0,128.0,128.0
T04C2,cloth,797.0,475.0,-0.19542078426711385,-2.1729778343056125,-0.8320758513486197,-1.1554611873128315,-1.7450743581856532,-0.46079801784319746,0.3437508255396485,0.5191613165730511,0.13708785788730035,223.0,42.0,211.0
T04A2,cloth,215.0,475.0,-3.7379725754545987,-3.3487817384902883,-3.6651612084211465,-3.3836339378292024,-3.4441572613970197,-4.022220517403692,0.3118553257083654,0.3174335061885811,0.3707111681030535,253.0,128.0,128.0
T06A2,cloth,2768.0,477.0,-0.9349235796786246,1.0379904099626316,0.5865319171466012,0.44438413225496254,0.7995824596625005,-0.7534016085780869,0.9058619089156119,1.6299215941170107,-1.5357835030326223,1.0,126.0,129.0
T05D2,cloth,2365.0,477.0,-0.13758057354125697,-0.5815862024682872,0.9326161419725736,0.15187747566912554,-0.2275103505800623,-0.18203269853392456,-0.5894364297045926,0.8829675906577718,0.706468839046821,0.0,128.0,128.0
T06C2,cloth,3357.0,477.0,-1.099321026358652,1.0958269985641635,-0.04002477091245282,0.17697433380631494,0.6958274096633357,-0.9148493018703194,-4.208908686681322,-16.548580610384946,21.757489297066268,83.0,207.0,20.0
T06D2,cloth,3650.0,477.0,-2.1356716888066245,-0.12713995297636416,-2.7498562700733515,-1.5650132865603992,-0.8298864287582444,-2.0978570735419892,0.3483414215611898,0.1847165265691367,0.46694205186967347,153.0,226.0,67.0
T05C2,cloth,2080.0,477.0,0.7764851674699713,0.4057373082896163,2.826168234099555,1.4508601823591212,0.9472561398413737,0.8408985335068137,0.44793254955364964,0.2924519281448371,0.25961552230151336,0.0,128.0,128.0
T06B2,cloth,3060.0,477.0,2.337864233080637,2.1234601629507353,1.3265530145308162,1.728282261912304,1.9694544347731826,2.5004288730099464,0.2788377048787402,0.3177479550405037,0.403414340080756,1.0,128.0,128.0
T07B2,cloth,4330.0,477.0,0.8086880206668496,2.3575309589573408,0.08430668844732736,1.023687203875207,1.7622902576795714,1.0511283488044072,0.266786284889908,0.45927590866059703,0.273937806449495,1.0,126.0,129.0
T05A2,cloth,1496.0,477.0,1.1422887708935292,0.7796607738886223,2.69712685202461,1.59734702067758,1.213626599027336,1.2305970101697727,0.3952292727164604,0.3002858814482639,0.30448484583527574,0.0,130.0,127.0
T07D2,cloth,4918.0,477.0,-2.7801964312697436,-1.7513048543912078,-4.2594235006729875,-2.884702936474488,-2.3589741451317217,-2.933124863665264,0.3527910980090046,0.2884959377664616,0.3587129642245337,255.0,127.0,128.0
T05B2,cloth,1785.0,477.0,1.9732544290816918,2.6175177818859225,4.263708226123853,3.0506046417722774,2.9211184318774244,2.2696130622310937,0.370158987750867,0.3544471895958201,0.27539382265331275,1.0,128.0,128.0
T04D2,cloth,1089.0,477.0,-0.625831283973767,-1.237738608222827,-0.3467065834047247,-0.6985105258971755,-1.0040759561580743,-0.7489617656727189,0.2849262813997387,0.40956809929750554,0.3055056193027558,224.0,42.0,211.0
T07A3,cloth,4054.0,764.0,-0.2129059360596557,2.500887746804324,-0.07100254201519363,0.826556019331878,1.7580485716273064,0.09438767231820477,0.30853243985135553,0.656235031256331,0.03523252889231343,1.0,126.0,129.0
T07C3,cloth,4630.0,764.0,1.1938597005464118,4.553349574242617,1.170187351445648,2.326237304714485,3.5913719268508735,1.6998768959412685,0.30538123283408125,0.471464189988149,0.22315457717776982,2.0,126.0,129.0
T04A3,cloth,215.0,765.0,2.749777404482373,1.951646535809175,1.8618340342885205,1.961950480454563,1.9901511412656645,2.8817419084986553,0.287093269223816,0.2912198870906723,0.4216868436855117,1.0,128.0,128.0
T04B3,cloth,507.0,765.0,0.9310049419494817,0.998394123509442,1.5799787071135256,1.1766624107731334,1.117217689160137,1.034285556149654,0.353546828001946,0.33568572138775193,0.31076745061030214,0.0,128.0,128.0
T04C3,cloth,797.0,765.0,2.3046325018250116,1.7136193220258207,2.245140724227582,1.954614101710989,1.8693160676580745,2.437758755956611,0.3121544562530832,0.2985322474416677,0.3893132963052491,1.0,128.0,128.0
T05B3,cloth,1785.0,767.0,-0.9782969437758453,-1.0003500833419707,1.795335626047219,0.20627493288253124,-0.4041919107244377,-1.014202484360917,-0.1701770653097684,0.3334588077563632,0.8367182575534051,224.0,42.0,211.0
T07B3,cloth,4338.0,767.0,1.1885940086387023,2.306077637064732,0.5354032798439761,1.2598956885452073,1.848849036285073,1.4147431988339894,0.278523057827603,0.40872200113831747,0.31275494103407947,1.0,128.0,128.0
T06D3,cloth,3650.0,767.0,2.717133633615731,4.241152871162257,3.105718773300353,3.2877812878374204,3.889681144456449,3.1476603814836106,0.31842539281472965,0.37672008504016974,0.30485452214510067,2.0,128.0,129.0
T06C3,cloth,3357.0,767.0,2.825410588094911,3.9048840838257917,3.1938573630609284,3.2234301547174784,3.6757573600772697,3.2121799286410524,0.3187927026438048,0.36352722622730266,0.3176800711288924,2.0,128.0,129.0
T07D3,cloth,4918.0,767.0,2.0883436613688247,3.1648444241030234,0.2957552719607719,1.6304743904297032,2.476970787692491,2.3675037830580554,0.25181270156799834,0.38254676639813856,0.36564053203386304,2.0,126.0,129.0
T06B3,cloth,3060.0,767.0,1.1467041004447651,3.499314158246065,2.3527776797649267,2.4285977423006075,3.085677639421301,1.5522962296719442,0.34367411467037784,0.43665836973138145,0.21966751559824074,2.0,126.0,129.0
T04D3,cloth,1089.0,767.0,3.0251846988371227,0.6348693612808489,2.0234875020857572,1.6074712448680042,1.1027118812534973,2.989638676488546,0.28202131584743845,0.1934642729968411,0.5245144111557204,0.0,130.0,126.0
T05D3,cloth,2365.0,767.0,1.5148065127975059,2.4128384138427066,3.6975341579018846,2.6611728777502037,2.6212431721753338,1.7986056316963714,0.3758176429055449,0.370178667716625,0.2540036893778301,1.0,128.0,128.0
T05A3,cloth,1489.0,767.0,2.4980180479867755,2.9146183822569753,4.425928044763822,3.318436353651697,3.205965153316214,2.806846437318462,0.35562621135617906,0.3435730325094686,0.30080075613435237,1.0,128.0,128.0
T06A3,cloth,2766.0,767.0,-2.5484926273421493,-0.37991167696733896,-2.057796630937233,-1.4444423645689897,-0.8932697040789525,-2.506910659466985,0.29815373572567766,0.18438374961480833,0.5174625146595139,153.0,226.0,67.0
T05C3,cloth,2079.0,767.0,0.3325991019463572,0.9661660085711219,1.9682130523820547,1.2172932937733878,1.1335466644457786,0.46928278346299984,0.4316455010207422,0.4019494072692853,0.16640509170997245,0.0,128.0,128.0
T07A4,cloth,4048.0,1052.0,3.1456575868991052,6.2979410549073975,3.6430570622934937,4.32218999218793,5.505803747525227,3.810429993179525,0.3169127222351818,0.40369795332333885,0.2793893244414793,3.0,128.0,129.0
T04A4,cloth,215.0,1052.0,1.0804811280916056,0.7775754462194016,1.4516535085895583,1.0717454892651408,0.9427958779167146,1.1475325423535805,0.3389375200981937,0.2981574450469527,0.3629050348548536,0.0,130.0,127.0
T04C4,cloth,797.0,1053.0,2.221344390736718,2.250757132471392,2.9772631625248493,2.4336220318474746,2.4031426371913613,2.436787034420574,0.33458510107105005,0.3303946593310653,0.3350202395978848,1.0,128.0,128.0
T06A4,cloth,2771.0,1055.0,-0.668345309714752,0.5308880502059878,0.0054700355090346875,0.07149447286153437,0.3325912626446698,-0.5717479224380184,-0.426419779974659,-1.9836987023193837,3.4101184822940427,0.0,128.0,128.0
T07C4,cloth,4630.0,1055.0,2.198993795222833,4.343245253603101,1.8748826722948309,2.7231289994895334,3.6635305105007148,2.643641701840161,0.30155461436015213,0.4056930576912761,0.29275232794857176,2.0,126.0,129.0
T07B4,cloth,4340.0,1055.0,1.3811829872090726,3.179765228447664,1.1321651409831617,1.8531940128138693,2.614483824521462,1.7134356003234177,0.29981556421909195,0.42297942771808483,0.27720500806282306,2.0,126.0,129.0
T06D4,cloth,3650.0,1055.0,0.11523862448973432,2.40421832976439,0.8183925876749072,1.2180356437111077,1.9017493004932027,0.41189804894308,0.3448881584430119,0.5384824470891676,0.1166293944678205,1.0,126.0,129.0
T05A4,cloth,1470.0,1055.0,1.0921537949794669,2.6833512250141496,2.5990142169138863,2.2285478138095103,2.5505706227465126,1.4079613093798247,0.36019380795493916,0.41224143335503716,0.22756475869002377,1.0,128.0,128.0
T04B4,cloth,502.0,1055.0,1.4136624742414483,-0.10226595040835207,1.2420401728434882,0.7307972813325323,0.29304365513387853,1.355233442624459,0.3071771474466453,0.12317549115293364,0.569647361400421,0.0,130.0,127.0
T06C4,cloth,3357.0,1055.0,-2.9575478449761476,-0.9724011352161313,-1.3630030291461708,-1.4435392674347653,-1.1987496337607677,-2.952824443400888,0.25800000438398424,0.21424939226986012,0.5277506033461556,154.0,226.0,68.0
T07D4,cloth,4915.0,1055.0,1.9409363851610806,3.264849444865092,0.5217220183738362,1.7328374260787334,2.585907481404467,2.243710661021152,0.26405320508305763,0.39404571267730815,0.3419010822396342,2.0,126.0,129.0
T06B4,cloth,3063.0,1055.0,0.6816453476044728,3.5104222963972944,2.1088640981879223,2.2480519905350076,3.00818222462844,1.1069571905145974,0.3532900155304163,0.47274740501191886,0.17396257945766494,2.0,126.0,130.0
T05D4,cloth,2360.0,1055.0,2.8825039453683843,2.4106903124040855,4.898137225298711,3.402385092512338,2.9737562509936626,3.121290412566022,0.35824264705425024,0.31311162084343924,0.3286457321023104,1.0,128.0,128.0
T04D4,cloth,1089.0,1055.0,-0.1402980371509841,-0.9914756421072468,0.19244608601638902,-0.30046740059572563,-0.6782539303240276,-0.2477810312781472,0.24497906392718724,0.5529984704706088,0.2020224656022039,0.0,128.0,128.0
T05C4,cloth,2067.0,1055.0,2.5512960055262823,3.470616110537833,4.7061024887129435,3.6424209369260168,3.6670189999772322,2.9291640447190015,0.3557536694908767,0.3581561516159172,0.28609017889320604,2.0,128.0,129.0
T05B4,cloth,1776.0,1057.0,3.989886022238707,5.878436513394988,6.858243320137603,5.650639811843077,5.9505093245691265,4.624864240897918,0.34824572619573524,0.3667265141596707,0.28502775964459415,3.0,128.0,129.0
T07B5,cloth,4318.0,1337.0,0.3899703831858261,1.6243254829651335,-0.8059262667792098,0.31877580568418895,1.0183873787229065,0.5486153591363593,0.16904201544535352,0.5400355106434264,0.29092247391122006,1.0,126.0,129.0
T07C5,cloth,4620.0,1347.0,1.913600058221121,3.4489050207430694,0.9729119343429034,1.9798149710491098,2.8115180998988762,2.2483940503675703,0.28123461846332615,0.3993788468569888,0.3193865346796851,2.0,126.0,129.0
T07D5,cloth,4913.0,1347.0,0.34116929677679764,1.5319423919714978,-0.4480568262250415,0.42454181539279673,1.0249063212884686,0.49814717323242197,0.2179825619992951,0.5262419333582652,0.25577550464243964,1.0,126.0,129.0
T06C5,cloth,3355.0,1347.0,2.224923590164252,3.7264229505727684,3.314196214949206,3.1009008756281413,3.5303831515549824,2.6225901524446846,0.33509218035995164,0.38150325831391135,0.28340456132613695,2.0,128.0,129.0
T07A5,cloth,4042.0,1352.0,0.5703359700765844,3.542240570775391,1.228071997659697,1.876056720255859,2.835582768910635,0.9879427700486687,0.32915688114205643,0.49750712244323275,0.1733359964147108,2.0,126.0,130.0
T06D5,cloth,3655.0,1354.0,-1.985025278604624,-0.6769806442761563,-0.5017226644114174,-0.8071838212255185,-0.7341162106309024,-1.976768593635644,0.22943947578982185,0.20867023608108926,0.5618902881290889,82.0,207.0,20.0
T05A5,cloth,1475.0,1354.0,4.070124266846179,4.95857777070232,5.747146752873007,4.8779194081551775,5.062161387207568,4.56999334054434,0.3361746716430707,0.34887219319442236,0.3149531351625069,2.0,128.0,128.0
T04D5,cloth,1096.0,1354.0,1.4309787115294483,0.9475414186159838,2.255582862979594,1.5273499738850222,1.2606185672791526,1.5164135068613895,0.3548360616794281,0.292868651809707,0.3522952865108649,0.0,130.0,127.0
T04C5,cloth,802.0,1354.0,0.22268918938674176,1.0415414616525567,2.524698365403239,1.4539398133360957,1.2978681829315961,0.38457812532405844,0.4635716895081162,0.41381007714474705,0.12261823334713674,1.0,128.0,129.0
T06B5,cloth,3061.0,1357.0,1.8856506802218433,2.4218950792809295,2.205878493415611,2.116082593902621,2.3372510082042717,2.1232603250761075,0.3217596551242472,0.35538928419219024,0.3228510606835625,1.0,128.0,128.0
T05D5,cloth,2365.0,1357.0,0.910770798306828,1.8614321005916281,2.974256480776205,2.056691957601473,2.029485895366989,1.144881016098648,0.39316933895799505,0.38796846798417334,0.21886219305783156,1.0,128.0,129.0
T05C5,cloth,2071.0,1357.0,3.1285387696223097,3.7186976216718364,5.304954599578963,4.082285583186197,4.013457150031669,3.5188676884361456,0.35147847710632446,0.34555245542709484,0.30296906746658075,2.0,128.0,128.0
T05B5,cloth,1777.0,1357.0,1.2450524866134742,2.7509844914385155,4.049765350182753,2.878692100843504,2.9185096157823445,1.5893715845514176,0.389719560541652,0.39511008647503637,0.2151703529833116,1.0,128.0,128.0
T04B5,cloth,508.0,1357.0,-1.2796633606429992,-0.38511927650735345,0.28637179982233363,-0.2504928249481019,-0.3068750797646154,-1.2564357913037003,0.13810360266562965,0.16918869469645062,0.6927077026379197,82.0,207.0,20.0
T15B1,cloth,3072.0,1722.0,-0.6849989549489663,1.1057926690124589,0.030176040777405433,0.28425183220576367,0.7477878865173392,-0.5185722550239987,0.5535926856162737,1.4563491153463786,-1.0099418009626524,1.0,126.0,129.0
T13B1,cloth,525.0,1722.0,0.03653877237357506,0.3194669471725433,2.158723769053381,1.01120614416721,0.6902067202573037,0.11453739904146606,0.5568468280828299,0.3800801894981162,0.06307298241905392,0.0,128.0,128.0
T14C1,cloth,2087.0,1723.0,6.0388882837003734,5.039228742521701,6.760102778781501,5.679797321215214,5.477362945655223,6.470115198835758,0.3222164044730134,0.3107322487988239,0.36705134672816253,3.0,130.0,127.0
T13A1,cloth,222.0,1723.0,0.3812124057179602,-0.268172115205104,0.5266017485365353,0.1900933358080273,-0.052275951778554076,0.3404850069151448,0.3974333798177437,-0.10929477411834021,0.7118613943005966,0.0,128.0,128.0
T15D1,cloth,3663.0,1724.0,-0.21613048811782676,3.0991363075334846,2.032721740203911,1.907588120432704,2.633059757834756,0.20330300462708747,0.40210958492655785,0.5550352064834576,0.04285520858998461,2.0,126.0,130.0
T16C1,cloth,4630.0,1724.0,0.23565027344949385,1.0572077608221946,-1.0511214810512115,-0.012989407816974732,0.5495274608678272,0.32962785085059815,-0.014996443243109489,0.6344367267201395,0.38055971652297,136.0,208.0,195.0
T16A1,cloth,4055.0,1725.0,-1.253697574600551,0.23553875684443426,-1.5215560935919967,-0.769566574806724,-0.24563330924111393,-1.192737223155056,0.3485455144062698,0.11125013862024918,0.540204346973481,154.0,226.0,67.0
T15A1,cloth,2781.0,1727.0,3.425901680521207,4.462604837952156,4.49155327778,4.0664518636364475,4.393937782473724,3.874394450958657,0.32967353393747495,0.3562233232374027,0.31410314282512225,2.0,128.0,128.0
T13D1,cloth,1102.0,1727.0,1.6410403681330763,1.820490330057254,2.884520375777754,2.1368079436545373,2.0338290666149206,1.8322443020158055,0.355963716837351,0.3388088087719751,0.305227474390674,1.0,128.0,128.0
T16B1,cloth,4342.0,1727.0,-0.8741596999834371,1.385578110046069,-1.2633481326553664,-0.1833575967718722,0.6591268462435822,-0.6899931673183648,0.8559156167759137,-3.0768125840896845,3.220896967313771,136.0,208.0,195.0
T13C1,cloth,810.0,1727.0,3.7468092945499762,3.5797436220545933,5.057956346385197,4.042282131446708,3.9061777318415998,4.085075058534258,0.3359180953649881,0.3246076699173264,0.3394742347176854,2.0,128.0,128.0
T14D1,cloth,2379.0,1727.0,6.005847948206977,4.185234352384754,5.948447306578188,5.033695128127298,4.691625169472543,6.321235067467773,0.31369318919905703,0.29237584408214673,0.3939309667187964,2.0,130.0,126.0
T15C1,cloth,3369.0,1729.0,-0.13203121826975917,2.1250254967464315,0.9432422631737012,1.1250812547770792,1.7107893733873978,0.14605278255042767,0.37730052044071294,0.5737200919514035,0.048979387607883625,1.0,126.0,129.0
T14B1,cloth,1792.0,1742.0,7.033486692956245,5.417578780215237,7.605334997898396,6.343170540859594,5.999483934882907,7.476724077899044,0.320048911911727,0.3027079743517277,0.3772431137365453,3.0,130.0,127.0
T13B2,cloth,515.0,2005.0,-0.7762957705248255,-1.3685381062325916,-0.16590897264285331,-0.6978596044060787,-1.0700265270416771,-0.9040435149866555,0.2611818785488405,0.4004695739162095,0.33834854753495,224.0,42.0,211.0
T14C2,cloth,2085.0,2008.0,6.628537689250052,4.780062790252941,6.368958038970845,5.532190484102795,5.251391904435395,6.992008585024338,0.3112239976904718,0.2954271344477797,0.3933488678617486,3.0,128.0,127.0
T15B2,cloth,3070.0,2008.0,3.270037256929342,5.598975105391361,4.3522925952833305,4.387227965327339,5.165748991272171,3.859029642982463,0.3271119748378353,0.3851585482692185,0.28772947689294615,3.0,126.0,129.0
T13C2,cloth,810.0,2011.0,0.6208909430436904,-0.08561365824620282,1.5685167917286549,0.7283634007689866,0.3171670225649873,0.6101562924732067,0.43991619538597,0.19156221979492177,0.36852158481910824,0.0,128.0,128.0
T13D2,cloth,1095.0,2011.0,-0.2520434764762882,-1.813173230994252,0.22917448628624015,-0.5993010237645422,-1.266146860436819,-0.4512028562219276,0.25869286781443823,0.5465419704160818,0.19476516176948006,224.0,42.0,211.0
T14D2,cloth,2381.0,2012.0,5.858403690457962,4.715382760413547,5.800904655296023,5.1358041442395574,5.02874185697593,6.241455058991571,0.31304424066486913,0.30651844032688746,0.3804373190082433,2.0,130.0,127.0
T16D2,cloth,4915.0,2012.0,-3.3107690935721976,-2.3560758522536815,-4.579043804895107,-3.328519236083819,-2.8977461136487457,-3.5155936117762256,0.34167187692155915,0.2974530964878547,0.3608750265905863,254.0,127.0,128.0
T16C2,cloth,4622.0,2012.0,-4.270472611874233,-2.980891711888205,-4.851832567643122,-3.8376184290172035,-3.471865928955748,-4.507350922604727,0.3247585616535392,0.2938067466051725,0.3814346917412883,254.0,127.0,129.0
T16B2,cloth,4333.0,2015.0,1.6281406965699006,3.649608059077778,0.7638864168427801,1.9138600947308055,2.8899942269026986,1.9970017666994275,0.28141458514525675,0.42494565233641224,0.293639762518331,2.0,126.0,129.0
T16A2,cloth,4045.0,2015.0,1.1218802458813713,2.1915715078081917,0.7667497631552891,1.302333706511276,1.8113457877173818,1.3421694517746172,0.29227510229659365,0.40650969313986496,0.3012152045635415,1.0,128.0,128.0
T15C2,cloth,3370.0,2015.0,-0.7579162552312511,2.6959213813080254,-0.16976321616051848,0.7572206141414585,1.8371874656539733,-0.402200848566964,0.3454147050309325,0.8380537384800302,-0.18346844351096264,1.0,126.0,129.0
T13A2,cloth,218.0,2015.0,-3.0644554004998596,-4.828102847244196,-3.739895267448915,-3.821900596233186,-4.469379813788665,-3.559942527042219,0.3224899756362185,0.3771239337512517,0.30038609061252974,253.0,128.0,128.0
T14A2,cloth,1493.0,2017.0,5.755733120629998,3.8706040315835395,5.811018283931574,4.819377270936189,4.419337136894059,6.043391465172691,0.31536080897397817,0.2891837796190885,0.39545541140693347,2.0,130.0,127.0
T15A2,cloth,2781.0,2018.0,1.75664508026874,4.2042040169204,2.7598402566097775,2.9586012994620665,3.720374841527803,2.2238129827462565,0.3323229673691817,0.41788868519964656,0.24978834743117176,2.0,126.0,129.0
T15D2,cloth,3655.0,2020.0,-0.9525475556891507,2.4099296519319893,-0.809186449495769,0.3561038167447303,1.482624343737563,-0.6336102424392068,0.2954929234833587,1.2302732550397237,-0.5257661785230825,1.0,126.0,129.0
T14B2,cloth,1789.0,2027.0,5.397400922729219,3.304425739322795,4.356344381943217,3.9522793185381393,3.6792011419178765,5.607258465580774,0.2985389575713396,0.27791175296024206,0.4235492894684183,2.0,128.0,127.0
